URLS,"Tuesday, 2021-11-30 17:40:01","Tuesday, 2021-11-30 17:45:22"
https://www.amazon.in/BassHeads-228-Extraa-Bass-Earphones/dp/B07P73QGP7,Not Available,Not Available
https://www.amazon.in/LG-GL-N292BDSY-Refrigerator-Inverter-Compressor/dp/B08BWN4454,"₹21,245.00",0
https://www.amazon.in/Samsung-Frost-Free-Refrigerator-RT39T5C38S9-TL/dp/B08H67JBJ2,"₹43,990.00","₹43,990.00"
https://www.amazon.in/Sony-MDR-EX155AP-Ear-Headphones-Mic/dp/B073JPC6R2,"₹1,160.00",0
https://www.amazon.in/Skullcandy-S2MEY-L634-Earphone-Black-Speckle/dp/B07HB9G9NR,Not Available,0
https://www.amazon.in/Sony-MDR-XB55AP-Extra-Headphone-Black/dp/B073JPC6R3,"₹2,345.00","₹2,345.00"
https://www.amazon.in/Zebronics-Zeb-Calyx-Wired-Earphone-Function/dp/B07XCX1P4P,₹194.00,0
https://www.amazon.in/Philips-SHE2305BK-00-Upbeat-Earphone/dp/B07NFS6HQS,Not Available,0
https://www.amazon.in/BassHeads-Extraa-Pouch-Wired-Earphones/dp/B07PG9VQ44,Not Available,0
https://www.amazon.in/Airdopes-281-Bluetooth-Immersive-Resistance/dp/B084DRKGZ3,Not Available,0
https://www.amazon.in/T50HI-Lifestyle-Wired-Ear-Head-Phones/dp/B07WVZG6Q5,₹599.00,0
https://www.amazon.in/LG-Inches-Smart-43LM5600PTC-Model/dp/B084QZKBWQ,"₹38,554.00",0
https://www.amazon.in/Sansui-SKY40FB11FA-102cm-inches-Black/dp/B0194PXBPW,Not Available,0
https://www.amazon.in/Sony-MDR-EX15AP-Ear-Stereo-Headphones/dp/B00JGZH5GW,₹849.00,0
https://www.amazon.in/Sony-Bravia-125-7-inches-KLV-50W672G/dp/B07TVMDNXD,"₹59,989.00","₹59,989.00"
https://www.amazon.in/Samsung-inches-Smart-UA43T5350AKXXL-Glossy/dp/B0856SR9CX,"₹37,290.00",0
https://www.amazon.in/Lenovo-15-6-inch-Windows10-Graphics-81Y400VBIN/dp/B08SK1Z5CK,Not Available,Not Available
https://www.amazon.in/Dell-Gaming-5510-15-6-Laptop/dp/B08QLFFCJ4,Not Available,0
https://www.amazon.in/Dell-i5-10200H-G15-5510-D560452WIN9A/dp/B097C2BRKJ,"₹64,590.00",0
https://www.amazon.in/G512LI-HN091T-i5-10300H-FHD-144hz-GTX1650Ti-4GB-Backlit/dp/B08H8RK9SL,Not Available,Not Available
https://www.amazon.in/Lenovo-35-56cm-Graphics-Warranty-82KA00LKIH/dp/B09BYZ5H4G,Not Available,Not Available
https://www.amazon.in/Lenovo-V15-Laptop-Windows-82KB00F0IN/dp/B09BVX13XW,Not Available,0
https://www.amazon.in/Nova-NHS-904-Styling-Brush/dp/B08BXF3D16,"₹1,690.55",0
https://www.amazon.in/Vega-VHCH-02-Ease-Curl-Barrel/dp/B00TTTTYVO,"₹1,079.00","₹1,079.00"
https://www.amazon.in/Lenovo-IdeaPad-15-6-inch-Windows-81Y4017UIN/dp/B094XF92HG,"₹61,740.00",0
